# Mountain elevation from Marin Anderson
# Azimuth_deg Elevation_deg
187.38738739 3.18774988
187.74774775 3.26395955
188.10810811 3.34163407
188.46846847 3.51116493
188.82882883 3.44568386
189.18918919 3.46188527
189.54954955 3.46263324
189.90990991 3.61605059
190.27027027 3.58876423
190.63063063 3.69810886
190.99099099 3.68000806
191.35135135 3.54471605
191.71171171 3.57547053
192.07207207 3.75327845
192.43243243 3.72456440
192.79279279 3.83269512
193.15315315 3.83388095
193.51351351 3.74335290
193.87387387 3.69874445
194.23423423 3.73473026
194.59459459 3.79696542
194.95495495 3.81135811
195.31531532 3.97934204
195.67567568 4.05076101
196.03603604 4.09012451
196.39639640 4.23382036
196.75675676 4.38886797
197.11711712 4.48331637
197.47747748 4.57337382
197.83783784 4.67415421
198.19819820 4.74321849
198.55855856 4.75256900
198.91891892 4.82118257
199.27927928 4.76567189
199.63963964 4.58776237
200.00000000 4.61662814
200.36036036 4.70741482
200.72072072 4.69080207
201.08108108 4.70021532
201.44144144 4.79786581
201.80180180 4.74397185
202.16216216 4.65432343
202.52252252 4.62783531
202.88288288 4.63662614
203.24324324 4.69971637
203.60360360 4.87400344
203.96396396 5.00790700
204.32432432 5.13207523
204.68468468 5.26185521
205.04504505 5.34513667
205.40540541 5.49647459
205.76576577 5.65954183
206.12612613 5.72928916
206.48648649 5.81301365
206.84684685 5.63605419
207.20720721 5.46921465
207.56756757 5.51626220
207.92792793 5.58276492
208.28828829 5.67990199
208.64864865 5.72770421
209.00900901 5.87544606
209.36936937 5.97884056
209.72972973 6.15279043
210.09009009 5.97252026
210.45045045 5.81599456
210.81081081 5.64604105
211.17117117 5.50059063
211.53153153 5.73899408
211.89189189 5.96011732
212.25225225 6.14269569
212.61261261 6.32610229
212.97297297 6.43096429
213.33333333 6.56207645
213.69369369 6.68831881
214.05405405 6.86560628
214.41441441 6.99568337
214.77477477 6.91658684
215.13513514 6.74890127
215.49549550 6.54503939
215.85585586 6.30633592
216.21621622 6.31928361
216.57657658 6.42978856
216.93693694 6.46048053
217.29729730 6.52634614
217.65765766 6.46485073
218.01801802 6.32579265
218.37837838 6.18359492
218.73873874 6.06148577
219.09909910 6.02738052
219.45945946 6.08827044
219.81981982 6.16439866
220.18018018 6.28959056
220.54054054 6.49238203
220.90090090 6.55036587
221.26126126 6.62303342
221.62162162 6.75243598
221.98198198 6.74581927
222.34234234 6.60692698
222.70270270 6.53789546
223.06306306 6.45274202
223.42342342 6.52876614
223.78378378 6.54348444
224.14414414 6.52189489
224.50450450 6.44025425
224.86486486 6.34557541
225.22522523 6.26834756
225.58558559 6.21469308
225.94594595 6.34744641
226.30630631 6.12346556
226.66666667 6.08235027
227.02702703 5.95130459
227.38738739 5.80962771
227.74774775 5.84593861
228.10810811 5.97621697
228.46846847 5.92177132
228.82882883 5.90859363
229.18918919 5.95574712
229.54954955 5.87338288
229.90990991 5.90410792
230.27027027 5.85995051
230.63063063 5.79231689
230.99099099 5.91414423
231.35135135 6.01157149
231.71171171 5.87765880
232.07207207 5.93023337
232.43243243 6.09037947
232.79279279 6.23755710
233.15315315 6.43493810
233.51351351 6.43440254
233.87387387 6.28177462
234.23423423 6.31725724
234.59459459 6.22897917
234.95495495 6.21842539
235.31531532 6.06460654
235.67567568 6.08997979
236.03603604 6.01190983
236.39639640 5.94648080
236.75675676 5.68239529
237.11711712 5.68230562
237.47747748 5.76329957
237.83783784 5.81585976
238.19819820 5.81830367
238.55855856 5.85033608
238.91891892 5.93582102
239.27927928 6.02671921
239.63963964 6.11715257
240.00000000 6.19766992
240.36036036 6.20712096
240.72072072 6.31907901
241.08108108 6.37868601
241.44144144 6.47268549
241.80180180 6.57834875
242.16216216 6.65001812
242.52252252 6.68716750
242.88288288 6.70306484
243.24324324 6.81007382
243.60360360 6.92753296
243.96396396 7.01520679
244.32432432 7.09134338
244.68468468 7.15543261
245.04504505 7.17862033
245.40540541 7.19222745
245.76576577 7.20009311
246.12612613 7.21506740
246.48648649 7.26707775
246.84684685 7.34409417
247.20720721 7.41109752
247.56756757 7.42368524
247.92792793 7.40937889
248.28828829 7.40995947
248.64864865 7.45082744
249.00900901 7.52236263
249.36936937 7.57759890
249.72972973 7.58568972
250.09009009 7.55761516
250.45045045 7.51092017
250.81081081 7.45600332
251.17117117 7.43350021
251.53153153 7.47091394
251.89189189 7.47130833
252.25225225 7.46223269
252.61261261 7.45357249
252.97297297 7.50790971
253.33333333 7.54455555
253.69369369 7.60760815
254.05405405 7.70462360
254.41441441 7.68974135
254.77477477 7.70315579
255.13513514 7.82405281
255.49549550 7.95048161
255.85585586 8.05226409
256.21621622 8.12191823
256.57657658 8.07971048
256.93693694 7.92339462
257.29729730 7.84144526
257.65765766 7.81182642
258.01801802 7.68404089
258.37837838 7.60171328
258.73873874 7.63214997
259.09909910 7.60222031
259.45945946 7.51110440
259.81981982 7.46770822
260.18018018 7.45245482
260.54054054 7.40865694
260.90090090 7.29827648
261.26126126 7.14859228
261.62162162 7.03757461
261.98198198 7.04924842
262.34234234 7.04321874
262.70270270 7.01340421
263.06306306 6.96189864
263.42342342 6.89135091
263.78378378 6.81632385
264.14414414 6.78232513
264.50450450 6.68482882
264.86486486 6.69980175
265.22522523 6.73697544
265.58558559 6.71768133
265.94594595 6.65823030
266.30630631 6.64402268
266.66666667 6.60664023
267.02702703 6.55639230
267.38738739 6.50416045
267.74774775 6.50932418
268.10810811 6.48063455
268.46846847 6.44180195
268.82882883 6.40580413
269.18918919 6.41485046
269.54954955 6.42239620
269.90990991 6.38518669
270.27027027 6.30084713
270.63063063 6.24800933
270.99099099 6.26171963
271.35135135 6.24104910
271.71171171 6.22747120
272.07207207 6.21261749
