common_name,ra_current,dec_current,coords_sexagesimal,distance
Gaia DR3 5717278911884264576,115.0894374,-17.41662772,07h40m21.46s -17d24m59.86s,9.152942538
Gaia DR3 3303349202364648320,58.84903521,11.55760643,03h55m23.77s +11d33m27.38s,9.162702456
Gaia DR3 4034171629042489088,178.2814011,37.67666556,11h53m07.54s +37d40m36.00s,9.171817868
Gaia DR3 1470462322431834880,205.6793218,33.28494495,13h42m43.04s +33d17m05.80s,9.191991913
Gaia DR3 1460229442589223424,197.9617652,27.88455619,13h11m50.82s +27d53m04.40s,9.197515892
Gaia DR3 4371611781971072768,267.6005079,-0.269406262,17h50m24.12s -00d16m09.86s,9.209722711
Gaia DR3 2976507997939000064,77.14984684,-18.18216094,05h08m35.96s -18d10m55.78s,9.23144442
Gaia DR3 2976850598890749824,75.83195778,-17.37674532,05h03m19.67s -17d22m36.28s,9.235891853
BD J267.6-0.27,267.60338,-0.27083,17h50m24.81s -00d16m14.99s,9.236373578
Gaia DR3 2571094283835172736,30.56273374,10.33517849,02h02m15.06s +10d20m06.64s,9.237171919
Gaia DR3 3085716990368639744,117.9797004,-0.008871519,07h51m55.13s -00d00m31.94s,9.272241603
Gaia DR3 3269362645115584640,49.84235004,3.370877181,03h19m22.16s +03d22m15.16s,9.276236543
Gaia DR3 1227133699053734528,214.1009528,13.80820002,14h16m24.23s +13d48m29.52s,9.281819586
BD J214.113.81,214.09976,13.81009,14h16m23.94s +13d48m36.32s,9.297145126
BD J214.113.81,214.10031,13.80728,14h16m24.07s +13d48m26.21s,9.297145126
WISEP J121756.91+162640.2 A,184.48712,16.44468,12h17m56.91s +16d26m40.85s,9.310986965
Gaia DR3 423027104407576576,2.869830668,59.1359853,00h11m28.76s +59d08m09.55s,9.312090661
Gaia DR3 5138510181584617856,31.27999179,-17.61587442,02h05m07.20s -17d36m57.15s,9.319907481
Gaia DR3 4485574134969389312,275.3690187,14.2317865,18h21m28.56s +14d13m54.43s,9.342834396
BD J275.3714.23,275.36732,14.23357,18h21m28.16s +14d14m00.85s,9.356812695
Gaia DR3 3727748630418376704,209.5555683,12.58406443,13h58m13.34s +12d35m02.63s,9.359751754
BD J74.7264.58,74.72456,64.58127,04h58m53.89s +64d34m52.57s,9.372071228
Gaia DR3 WD_Unknown_ID,69.44927255,-8.830828462,04h37m47.83s -08d49m50.98s,9.403887567
BD J292.73-21.0,292.72769,-20.99698,19h30m54.65s -20d59m49.13s,9.407337723
GJ 357,144.0078998,-21.6679518,09h36m01.90s -21d40m04.63s,9.435839717
Gaia DR3 1143321672882274560,92.5853372,82.09710449,06h10m20.48s +82d05m49.58s,9.461601958
Gaia DR3 4147112604476417792,271.4334854,-14.37828854,18h05m44.04s -14d22m41.84s,9.476613659
HD 285968,70.73741028,18.95010127,04h42m56.98s +18d57m00.36s,9.485192669
GJ 3512,130.3301664,59.4881043,08h41m19.24s +59d29m17.18s,9.497261889
G 192-15,90.62239793,49.85945996,06h02m29.38s +49d51m34.06s,9.527533063
Gaia DR3 1810616448010879488,310.1509952,15.50442946,20h40m36.24s +15d30m15.95s,9.531161153
Gaia DR3 1349047857580994560,265.9832818,43.37425469,17h43m55.99s +43d22m27.32s,9.53154856
Gaia DR3 628080246633611520,148.4772107,20.94917153,09h53m54.53s +20d56m57.02s,9.545277411
Wolf 1069,306.5257081,58.57688778,20h26m06.17s +58d34m36.80s,9.574741838
Gaia DR3 4025850731201819392,175.2624585,34.1988807,11h41m02.99s +34d11m55.97s,9.57623527
BD J307.687.83,307.67638,7.82661,20h30m42.33s +07d49m35.80s,9.618492128
Gaia DR3 43574131143039104,58.17723779,17.01316394,03h52m42.54s +17d00m47.39s,9.661761624
Gaia DR3 1725759404752580736,211.3631194,83.84426455,14h05m27.15s +83d50m39.35s,9.666745773
BD J14.79-1.23,14.79359,-1.23348,00h59m10.46s -01d14m00.53s,9.689922481
Gaia DR3 6254033894121581952,235.5118555,-19.4792497,15h42m02.85s -19d28m45.30s,9.691821223
BD J211.4183.84,211.40511,83.84021,14h05m37.23s +83d50m24.76s,9.697270606
BD J339.0751.1,339.07023,51.09687,22h36m16.86s +51d05m48.73s,9.727626459
Gaia DR3 1749030362195988096,307.6812173,7.825798905,20h30m43.49s +07d49m32.88s,9.727952752
Gaia DR3 750586216906847104,162.4338948,35.53995658,10h49m44.13s +35d32m23.84s,9.732158459
Gaia DR3 3200303384927512960,70.09940488,-5.50133323,04h40m23.86s -05d30m04.80s,9.747136159
BD J228.7548.79,228.75355,48.7948,15h15m00.85s +48d47m41.28s,9.747538746
GJ 436,175.5534586,26.70069407,11h42m12.83s +26d42m02.50s,9.77503868
Gaia DR3 2358022227591374336,16.2339992,-18.12109307,01h04m56.16s -18d07m15.94s,9.776820002
Gaia DR3 1589250088362827776,228.7432694,48.80538068,15h14m58.38s +48d48m19.37s,9.807337233
